Release Date,Company,Content,Link ID
27 Feb 2020,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 31/12/2019,3028624
28 Nov 2019,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 30/09/2019,3005900
27 Sep 2019,MY E.G. SERVICES BERHAD,Change in Financial Year End,2990179
29 Aug 2019,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2019,2983683
30 May 2019,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2019,2959309
26 Feb 2019,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2018,2931509
29 Nov 2018,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 30/09/2018,2909477
30 Aug 2018,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 30/06/2018,2886156
13 Jun 2018,MY E.G. SERVICES BERHAD,Change in Financial Year End,2865282
30 May 2018,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2018,2861001
27 Feb 2018,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2017,2833110
29 Nov 2017,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2017,2810780
29 Aug 2017,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2017,2787212
30 May 2017,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2017,2764336
27 Feb 2017,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2016,2739087
29 Nov 2016,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2016,2719409
29 Aug 2016,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2016,2697312
30 May 2016,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2016,2675686
29 Feb 2016,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2015,2652291
27 Nov 2015,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2015,2630396
28 Aug 2015,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2015,2608955
29 May 2015,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2015,2585274
27 Feb 2015,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2014,2557731
28 Nov 2014,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2014,2447485
25 Aug 2014,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2014,2448458
28 May 2014,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2014,2260463
26 Feb 2014,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2013,2260835
29 Nov 2013,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2013,2261461
28 Aug 2013,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2013,600832
22 May 2013,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2013,599374
25 Feb 2013,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2012,599200
28 Nov 2012,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2012,606759
30 Aug 2012,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2012,605642
24 May 2012,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2012,604403
29 Feb 2012,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2011,604063
30 Nov 2011,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2011,603039
26 Aug 2011,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2011,601826
26 May 2011,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2011,596005
25 Feb 2011,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2010,593276
26 Nov 2010,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2010,598195
30 Aug 2010,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2010,596353
27 May 2010,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2010,594363
25 Feb 2010,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2009,592939
25 Nov 2009,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2009,591310
27 Aug 2009,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2009,592361
28 May 2009,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2009,579324
26 Feb 2009,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2008,582375
26 Nov 2008,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2008,589497
28 Aug 2008,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2008,586282
23 May 2008,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2008,583280
27 Feb 2020,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 31/12/2019,3028624
28 Nov 2019,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 30/09/2019,3005900
27 Sep 2019,MY E.G. SERVICES BERHAD,Change in Financial Year End,2990179
29 Aug 2019,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2019,2983683
30 May 2019,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2019,2959309
26 Feb 2019,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2018,2931509
29 Nov 2018,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 30/09/2018,2909477
30 Aug 2018,MY E.G. SERVICES BERHAD,Consolidated results for the financial period ended 30/06/2018,2886156
13 Jun 2018,MY E.G. SERVICES BERHAD,Change in Financial Year End,2865282
30 May 2018,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2018,2861001
27 Feb 2018,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2017,2833110
29 Nov 2017,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2017,2810780
29 Aug 2017,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2017,2787212
30 May 2017,MY E.G. SERVICES BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2017,2764336
